#Lothenbach et al., 2018 https://doi.org/10.1016/j.cemconres.2018.04.018
#Cemdata18 database: Standard thermodynamic properties at 25 °C and 1 bar
#a0, a1, a2, a3 are the empirical coefficients of the heat capacity function: C°ₚ = a₀ + a₁ T + a₂ T⁻² + a₃ T^-0.5
#heat capacity functions for cement hydrates are typically valid up to 100 °C only.
#Cement shorthand notation is used: A=Al2O3; C=CaO; F=Fe2O3; H=H2O; M=MgO; S=SiO2; c=CO2; s=SO3;

phases FormationFreeEnthalpy FormationEnthalpy Entropy a0 a1 a2 a3 MolarVolume Reference 
#AFt-phases
(Al-)ettringite -15205.94 -17535 1900 1939 0.789 0 0 707 [1,7]
C6As3H30 -14728.1 -16950.2 1792.4 1452 2.156 0 0 708 [30]
C6As3H13 -10540.6 -11530.3 1960.4 970.7 1.483 0 0 411 [30]
C6As3H9 -9540.4 -10643.7 646.6 764.3 1.638 0 0 361 [30]
Tricarboaluminate -14565.64 -16792 1858 2042 0.559 -7.78e6 0 650 [1,7]
Fe-ettringite -14282.36 -16600 1937 1922 0.855 2.02e6 0 717 [1,21]
Thaumasite -7564.52 -8700 897.1 1031 0.263 -3.40e6 0 330 [28]

#Hydrogarnet
C3AH6 -5008.2 -5537.3 422 290 0.644 -3.25e6 0 150 [9,12]
C3AS0.41H5.18 -5192.9 -5699 399 310 0.566 -4.37e6 0 146 [9]
C3AS0.84H4.32 -5365.2 -5847 375 331 0.484 -5.55e6 0 142 [9]
C3FH6 -4122.8 -4518 870 330 1.237 -4.74e6 0 155 [9]

#Al-Fe siliceous hydrogarnet (solid solution)
C3FS0.84H4.32 -4479.9 -4823 840 371 0.478 -7.03e6 0 149 [9]
C3A0.5F0.5S0.84H4.32 -4926.0 -5335 619 367 0.471 -8.10e6 0 146 [9]
C3FS1.34H3.32 -4681.1 -4994 820 395 0.383 -8.39e6 0 145 [9]

#AFm-phases
C4AH19 -8749.9 -10017.9 1120 1163 1.047 0 -1600 369 [12,31]
C4AH13 -7325.7 -8262.4 831.5 208.3 3.13 0 0 274 [31]
C4AH11 -6841.4 -7656.6 772.7 0.0119 3.56 1.34e-7 0 257 [31]
C2AH7.5 -4695.5 -5277.5 450 323 0.728 0 0 180 [12]
CAH10 -4623.0 -5288.2 610 151 1.113 0 3200 193 [12]
C4Ac0.5H12 -7335.97 -8270 713 664 1.014 -1.30e6 -800 285 [1,7]
C4Ac0.5H10.5 -6970.3 -7813.3 668.3 0.0095 2.836 1.07e-7 0 261 [31]
C4Ac0.5H9 -6597.4 -7349.7 622.5 0.0088 2.635 9.94e-8 0 249 [31]
C4AcH11 -7337.46 -8250 657 618 0.982 -2.59e6 0 262 [1,7]
C4AcH9 -6840.3 -7618.6 640.6 192.4 2.042 0 0 234 [31]
C4AsH16 -8726.8 -9930.5 975.0 636 1.606 0 0 351 [31,32]
C4AsH14 -8252.9 -9321.8 960.9 1028.5 0 0 0 332 [31,32]
C4AsH12 -7778.4 -8758.6 791.6 175 2.594 0 0 310 [31,32]
C4AsH10.5 -7414.9 -8311.9 721 172 2.402 0 0 282 [31,32]
C4AsH9 -7047.6 -7845.5 703.6 169 2.211 0 0 275 [31,32]
C2ASH8 -5705.15 -6360 546 438 0.749 -1.13e6 -800 216 [1,7]
C2ASH7 -5464.0 -6066.8 487.6 0.0063 1.887 7.12e-8 0 215 [31]
C2ASH5.5 -5095.2 -5603.4 454.8 0.0057 1.685 6.36e-8 0 213 [31]
C4As0.5ClH12 -7533.4 -8472 820 557 1.141 -1.02e6 751 289 [27,33]
C4ACl2H10 -6810.9 -7604 731 498 0.895 -2.04e6 1503 272 [33,34]
C4A(NO3)2H10 -6778.1 -7719.3 821 580 1.02 -2.77e6 872 296 [34,35]
C4A(NO2)2H10 -6606.8 -7493.1 799 565 0.99 -2.24e6 703 275 [34-36]
C4FH13 -6438.6 -7435 630 694 1.113 2.02e6 1600 286 [9]
C4Fc0.5H10 -5952.9 -6581 1270 308 1.201 -9.08e5 3200 273 [8]
C4FcH12 -6674.0 -7485 1230 612 1.157 -5.73e5 0 292 [8]
