	?fG° [kJ/mol]	?fH° [kJ/mol]	S° [J/K/mol]	a0 [J/K/mol]	a1 [J/mol/K2]	a2 [J?K/mol]	a3 [J/K0.5/mol]	V° [cm3/mol]	Ref
 (Al-)ettringite	-15,205.94	-17,535	1900	1939	0.789	–	–	707	[1,7]
 C6As3H30	-14,728.1	-16,950.2	1792.4	1452	2.156	–	–	708	[30]
 C6As3H13	-10,540.6	-11,530.3	1960.4	970.7	1.483	–	–	411	[30]
 C6As3H9	-9540.4	-10,643.7	646.6	764.3	1.638	–	–	361	[30]
 Tricarboaluminate	-14,565.64	-16,792	1858	2042	0.559	-7.78·106	–	650	[1,7]
 Fe-ettringite	-14,282.36	-16,600	1937	1922	0.855	2.02·106	–	717	[1,21]
 Thaumasite	-7564.52	-8700	897.1	1031	0.263	-3.40·106	–	330	[28]
 C3AH6d	-5008.2	-5537.3	422	290	0.644	-3.25·106	–	150	[9,12]
 C3AS0.41H5.18	-5192.9	-5699	399	310	0.566	-4.37·106	–	146	[9]
 C3AS0.84H4.32	-5365.2	-5847	375	331	0.484	-5.55·106	–	142	[9]
 C3FH6	-4122.8	-4518	870	330	1.237	-4.74·106	–	155	[9]
 C3FS0.84H4.32	-4479.9	-4823	840	371	0.478	-7.03·106	–	149	[9]
 C3A0.5F0.5S0.84H4.32	-4926.0	-5335	619	367	0.471	-8.10·106	–	146	[9]
 C3FS1.34H3.32	-4681.1	-4994	820	395	0.383	-8.39·106	–	145	[9]
 C4AH19	-8749.9	-10,017.9	1120	1163	1.047	–	-1600	369	[12,31]
 C4AH13	-7325.7	-8262.4	831.5	208.3	3.13	–	–	274	[31]
 C4AH11	-6841.4	-7656.6	772.7	0.0119	3.56	1.34·10-7	–	257	[31]
 C2AH7.5	-4695.5	-5277.5	450	323	0.728	–	–	180	[12]
 CAH10	-4623.0	-5288.2	610	151	1.113	–	3200	193	[12]
 C4Ac0.5H12	-7335.97	-8270	713	664	1.014	-1.30·106	-800	285	[1,7]
 C4Ac0.5H10.5	-6970.3	-7813.3	668.3	0.0095	2.836	1.07·10-7	–	261	[31]
 C4Ac0.5H9	-6597.4	-7349.7	622.5	0.0088	2.635	9.94·10-8	–	249	[31]
 C4AcH11	-7337.46	-8250	657	618	0.982	-2.59·106	–	262	[1,7]
 C4AcH9	-6840.3	-7618.6	640.6	192.4	2.042	–	–	234	[31]
 C4AsH16	-8726.8	-9930.5	975.0	636	1.606	–	–	351	[31,32]
 C4AsH14	-8252.9	-9321.8	960.9	1028.5	–	–	–	332	[31,32]
 C4AsH12	-7778.4	-8758.6	791.6	175	2.594	–	–	310	[31,32]
 C4AsH10.5	-7414.9	-8311.9	721	172	2.402	–	–	282	[31,32]
 C4AsH9	-7047.6	-7845.5	703.6	169	2.211	–	–	275	[31,32]
 C2ASH8	-5705.15	-6360	546	438	0.749	-1.13·106	-800	216	[1,7]
 C2ASH7	-5464.0	-6066.8	487.6	0.0063	1.887	7.12·10-8	–	215	[31]
 C2ASH5.5	-5095.2	-5603.4	454.8	0.0057	1.685	6.36·10-8	–	213	[31]
 C4As0.5ClH12	-7533.4	-8472j	820	557	1.141	-1.02·106	751	289	[27,33]
 C4ACl2H10	-6810.9	-7604	731	498	0.895	-2.04·106	1503	272	[33,34]
 C4A(NO3)2H10	-6778.1	-7719.3	821	580	1.02	-2.77·106	872	296	[34,35]
 C4A(NO2)2H10	-6606.8	-7493.1	799	565	0.99	-2.24·106	703	275	[[34], [35], [36]]
 C4FH13	-6438.6	-7435	630	694	1.113	2.02·106	1600	286	[9]
 C4Fc0.5H10	-5952.9	-6581	1270	308	1.201	-9.08·105	3200	273	[8]
 C4FcH12	-6674.0	-7485	1230	612	1.157	-5.73·105	–	292	[8]
 C4FsH12	-6873.2	-7663	1430	577	1.234	2.02·106	–	321	[10]
 C2FSH8				Not stable					[37]
 C4FCl2H10	-5900.1	-6528l	1286	481	0.961	-1.61·104	1503	278l	[37]
 Cs(anhydrite)	-1322.12	-1434.60	106.7	70.2	-0.099	–	–	46	[22,23]
 CsH2(gypsum)	-1797.76	-2023.36	193.8	91.4	-0.318	–	–	75	[22,23]
 CsH0.5(hemihydrate)	-1436.34m	-1575.3m	134.3	124.1	–	–	–	62	[38]
 Syngenite	-2884.91	-3172	326	201	0.308	-1.78·106	–	128n	[29]
 Al(OH)3(am)	-1143.2	-		Not defined				32	[1]
 Al(OH)3(mic)	-1148.4	-1265.3o	140o	36	0.191	–	–	32	[12]
 Al(OH)3(gibbsite)	-1151.0	-1288.7	70.1	36.2	0.191	–	–	32	[22,23]
 Fe(OH)3(am)	-700.1			Not defined					[22,23]
 Fe(OH)3(mic)	-711.6			Not defined					[22,23]
 FeOOH(mic)	-480.14	-551.1	60	1.25	-0.233	-3.14·105	–	21	[9,22]
 FeOOH(goethite)	-497.26	-568.2	60	1.25	-0.233	-3.14·105	–	21	[22,23]
 CH(portlandite)	-897.01	-985	83	187	-0.022	–	-1600	33	[22,23]
 SiO2(am)	-848.90	-903	41	47	0.034	-1.13·106	–	29	[1,7]
 SiO2(quartz)	-854.79	-909	41	47	0.034	-1.13·106	–	29	[22,23]
 ½M6AcH13	-4339.85	-4875.9	411	512.6	–	–	–	115	[39]
 ½M6FcH13	-3882.60	-4415.1	423	521.7	–	–	–	119	[39]
 M1.5S2H2.5	-3218.43	-3507.52	270r	318r	–	–	–	95	[40]
 M1.5SH2.5	-2355.66	-2594.22	216r	250r	–	–	–	74	[40]
 Zeolite P(Ca)	-5057.8	-5423	779	753	–	–	–	153s	[41]
 Natrolite	-5325.7	-5728	360	359	–	–	–	169s	[41]
 Chabazite	-7111.8	-7774	581	617	–	–	–	251s	[41]
 Zeolite X(Na)	-5847.5	-6447	566	586	–	–	–	214t	[41]
 Zeolite Y(Na)	-7552.5	-8327	734	739	–	–	–	283u	[41]
 C3S	-2784.33	-2931	169	209	0.036	-4.25·106	–	73	[1,7,42]
 C2S	-2193.21	-2308	128	152	0.037	-3.03·106	–	52	[1,7,42]
 C3A	-3382.35	-3561	205	261	0.019	-5.06·106	–	89	[1,7,42]
 C12A7	-18,451.44	-19,414	1045	1263	0.274	-2.31·107	–	518v	[42]
 CA	-2207.90	-2327	114	151	0.042	-3.33·106	–	54w	[42]
 CA2	-3795.31	-4004	178	277	0.023	-7.45·106	–	89x	[42]
 C4AF	-4786.50	-5080	326	374	0.073	–	–	130	[1,7,42]
 C (lime)	-604.03	-635	39.7	48.8	0.0045	-6.53·105	–	17	[43]
 Ks (K2SO4 arcanite)	-1319.60	-1438	176	120	0.100	-1.78·106	–	66	[44]
 K (K2O)	-322.40	-363	94	77	0.036	-3.68·105	–	40	[43]
 Ns (Na2SO4 thenardite)	-1269.80	-1387	150	58	0.023	–	–	53	[44]
 N (Na2O)	-376.07	-415	75	76	0.020	-1.21·106
